ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000481,East Ham North,4.391201535,-1.662078729
E05000482,East Ham South,-8.220980451,2.797739635
E05000483,Forest Gate North,-3.792519964,-3.026910991
E05000484,Forest Gate South,0.954758343,-13.6964276
E05000485,Green Street East,-0.581841849,-9.75543817
E05000486,Green Street West,1.397911152,-14.51493412
E05000487,Little Ilford,-7.747343909,16.10734022
E05000488,Manor Park,1.697558999,-0.03756253
E05000489,Plaistow North,4.334423468,-8.952572538
E05000490,Plaistow South,4.71105649,-4.556037031
E05000491,Royal Docks,-6.790877391,-3.94612288
E05000492,Stratford and New Town,14.62820702,9.942862917
E05000493,Wall End,-0.246755396,-1.669149871
E05000494,West Ham,6.769817837,8.91030322
E05000495,Aldborough,-7.928912016,10.04722674
E05000496,Barkingside,-4.110795827,-9.665218746
E05000497,Bridge,-9.438218318,4.790921127
E05000498,Chadwell,-9.517812468,-20.18702348
E05000499,Church End,-7.332882973,-12.02095696
E05000500,Clayhall,-10.3584928,6.926752528
E05000501,Clementswood,-2.953351257,-21.26852664
E05000502,Cranbrook,-0.069939386,9.855652245
E05000503,Fairlop,-6.865498438,11.97245326
E05000504,Fullwell,-10.17667327,6.042199369
E05000505,Goodmayes,-0.782316986,-15.21942652
E05000506,Hainault,-10.15268823,13.82725819
E05000507,Loxford,-2.909291685,-0.758500206
E05000508,Mayfield,-7.537840713,-2.74787133
E05000509,Monkhams,-8.606956639,2.600297347
E05000510,Newbury,-4.643397609,-7.127292945
E05000511,Roding,-9.25373686,7.937483241
E05000512,Seven Kings,-4.737225026,-0.02968746
E05000513,Snaresbrook,-1.114286942,-4.232355617
E05000514,Valentines,5.435231139,-9.537596567
E05000515,Wanstead,-9.131365368,17.90290808
E05000516,Barnes,-3.039619647,16.39919563
E05000517,East Sheen,-8.511629681,21.77410905
E05000518,Fulwell and Hampton Hill,-4.227975856,-1.471375727
E05000519,"Ham, Petersham and Richmond Riverside",-12.1132538,25.75232704
E05000520,Hampton,-8.021064024,23.67994999
E05000521,Hampton North,-11.62032854,3.146107185
E05000522,Hampton Wick,-7.340002596,10.97114875
E05000523,Heathfield,-12.57110264,2.489385727
E05000524,Kew,-6.569862313,14.93574711
E05000525,Mortlake and Barnes Common,-5.504690781,7.919289001
E05000526,North Richmond,4.457887767,9.751312482
E05000527,St Margarets and North Twickenham,-4.509769258,3.855083487
E05000528,South Richmond,2.711819061,8.702510542
E05000529,South Twickenham,-1.639283557,0.175448762
E05000530,Teddington,-3.895077201,11.59536541
E05000531,Twickenham Riverside,5.50517248,6.051443082
E05000532,West Twickenham,-7.429706259,11.94888355
E05000533,Whitton,-9.489471726,-4.094028005
E05000534,Brunswick Park,2.565104361,-14.97550928
E05000535,Camberwell Green,13.07249267,-10.2445447
E05000536,Cathedrals,29.95401282,-19.17941837
E05000537,Chaucer,24.63187688,-17.74912692
E05000538,College,-2.662937648,3.246993127
E05000539,East Dulwich,2.36038452,-14.78493385
E05000540,East Walworth,14.73607896,-3.290639244
E05000541,Faraday,6.291205612,0.347713113
E05000542,Grange,9.3804695,-22.05645758
E05000543,Livesey,4.044925483,-17.99088487
E05000544,Newington,14.20941227,-10.70684705
E05000545,Nunhead,7.477066904,-12.83332847
E05000546,Peckham,2.065302685,-12.8535794
E05000547,Peckham Rye,-2.291597499,7.856337752
E05000548,Riverside,4.407491259,-12.22951173
E05000549,Rotherhithe,10.58413083,7.052214471
E05000550,South Bermondsey,-0.885696933,-13.9769002
E05000551,South Camberwell,6.059117037,-18.17958523
E05000552,Surrey Docks,-6.460717359,-7.103788835
E05000553,The Lane,15.76032862,-8.20536548
E05000554,Village,2.448534623,1.0138068
E05000555,Beddington North,-8.154284358,14.11294933
E05000556,Beddington South,-12.67560746,3.519943972
E05000557,Belmont,-10.70924288,-18.13306497
E05000558,Carshalton Central,-3.544550276,-2.01613682
E05000559,Carshalton South and Clockhouse,-11.81088598,10.42982838
E05000560,Cheam,-11.49850692,-5.997251392
E05000561,Nonsuch,-10.62395923,-2.429422333
E05000562,St Helier,-6.268803718,1.384968884
E05000563,Stonecot,-9.443083099,-3.059717127
E05000564,Sutton Central,7.764329186,-17.20230289
E05000565,Sutton North,-3.139590926,-10.39607598
E05000566,Sutton South,-3.615999967,-27.18325759
E05000567,Sutton West,-1.737162157,-0.636506031
E05000568,The Wrythe,-8.126611765,-8.034120068
E05000569,Wallington North,-2.186785163,-3.608162648
E05000570,Wallington South,-2.977626819,-8.919491874
E05000571,Wandle Valley,-9.899500211,10.15748476
E05000572,Worcester Park,-9.987496743,-0.965625321
E05000573,Bethnal Green North,15.86223819,4.82341574
E05000574,Bethnal Green South,21.51174944,8.531824255
E05000575,Blackwall and Cubitt Town,0.05241294,4.444324654
E05000576,Bow East,-0.916062184,4.074813649
E05000577,Bow West,10.06234762,9.242461219
